,CityID,pic
41,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/12/57/19/20160430-144738-largejpg.jpg?w=200&h=-1&s=1"")"
42,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/66/2f/51/london-calling-gourmet.jpg?w=300&h=300&s=1"")"
43,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-s/02/73/98/fc/filename-ph-jpg-thumbnail0.jpg?w=300&h=300&s=1"")"
44,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/78/b3/3b/2-meat-traditional-combo.jpg?w=300&h=400&s=1"")"
45,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/e2/c5/c9/exterior.jpg?w=300&h=300&s=1"")"
46,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/35/31/71/exterior.jpg?w=300&h=300&s=1"")"
47,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/61/64/72/img.jpg?w=300&h=300&s=1"")"
48,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/61/19/86/img.jpg?w=300&h=300&s=1"")"
49,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/01/0f/74/8d/exterior-view.jpg?w=300&h=300&s=1"")"
50,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/3c/a6/e6/the-fontaine-room-in.jpg?w=300&h=300&s=1"")"
51,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/35/31/71/exterior.jpg?w=300&h=300&s=1"")"
52,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/e2/c5/c9/exterior.jpg?w=300&h=300&s=1"")"
53,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/18/47/4c/53/exterior.jpg?w=300&h=300&s=1"")"
54,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/c1/d8/9a/our-first-glimpse-of.jpg?w=900&h=-1&s=1"")"
55,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/42/84/26/photo0jpg.jpg?w=200&h=-1&s=1"")"
56,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/61/19/86/img.jpg?w=300&h=300&s=1"")"
57,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/d4/13/08/exterior.jpg?w=300&h=300&s=1"")"
58,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/19/d4/16/ba/reception.jpg?w=300&h=300&s=1"")"
59,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/1e/d9/92/beautiful.jpg?w=300&h=300&s=1"")"
60,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/f5/c8/04/leongs-asian-diner.jpg?w=300&h=300&s=1"")"
61,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/07/03/25/de/sakura-japanese-restaurant.jpg?w=300&h=300&s=1"")"
62,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/ce/1f/09/metropolitan-grill.jpg?w=300&h=300&s=1"")"
63,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/4a/f8/e9/photo1jpg.jpg?w=300&h=400&s=1"")"
64,g44926,"url(""https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/7d/d9/19/fd-s-grill-springfield.jpg?w=300&h=300&s=1"")"
