,CityID,Comments,Date,User
0,g54184,"You may have your list of travel destinations down, but they probably include the typical big cities that everyone goes to in the country. National Geographic's list of the top 29 small cities in the US will give you some serious travel inspiration. Where will you go next?",Mar 2019,Business Insider
1,g54184,,,
2,g54184,,,
3,g54184,,Mar 2019,Family Vacation Critic
4,g54184,,,
5,g54184,,,
6,g54184,,Jan 2019,Thrillist
7,g54184,,,
8,g54184,,,
9,g54184,,Jan 2019,Roadfood
10,g54184,,,
11,g54184,,,
12,g54184,"ROADFOOD COLUMBIA, SOUTH CAROLINA: Find out Roadfood's favorite items on the menu at Big Boy's Smokehouse by visiting https://roadfood.com/restaurants/big-boys-smokehouse/",Nov 2018,Roadfood
13,g54184,,,
14,g54184,,,
15,g54184,"Even in the middle of some of our largest population centers, the great outdoors is often just around the corner, and usually costs nothing to enjoy. No matter which big city you call home, get outside and go explore.",Nov 2018,Airfarewatchdog
16,g54184,,,
17,g54184,,,
18,g54184,Abandoned places have a way of sending chills up your spine.,Oct 2018,Insider
19,g54184,,,
20,g54184,,,
21,g54184,,Oct 2019,American Eskimo
22,g54184,,,
23,g54184,,,
24,g54184,,May 2018,Brian H
25,g54184,,,
26,g54184,,,
27,g54184,,Dec 2015,Citallwic
28,g54184,,,
29,g54184,,,
30,g54184,,Sep 2019,WyoScout
31,g54184,,,
32,g54184,,,
33,g54184,,Jun 2018,jlantern3
34,g54184,,,
35,g54184,,,
36,g54184,,Sep 2014,Citallwic
37,g54184,,,
38,g54184,,,
39,g54184,,Jul 2017,jlantern3
40,g54184,,,
41,g54184,,,
42,g54184,,Jun 2016,brian0910
43,g54184,,,
44,g54184,,,
45,g54184,,Mar 2017,Faith N
46,g54184,,,
47,g54184,,,
48,g54184,,Mar 2017,Chris P
49,g54184,,,
50,g54184,,,
51,g54184,,Apr 2017,brian0910
52,g54184,,,
53,g54184,,,
54,g54184,,Oct 2019,American Eskimo
55,g54184,,,
56,g54184,,,
57,g54184,,May 2013,Mike B
58,g54184,,,
59,g54184,,,
60,g54184,,Mar 2017,akjelliebean
61,g54184,,,
62,g54184,,,
63,g54184,,Sep 2019,N M
64,g54184,,,
65,g54184,,,
66,g54184,,Aug 2018,cheryl h
67,g54184,,,
68,g54184,,,
69,g54184,,Jan 2018,Alaina1024
70,g54184,,,
71,g54184,,,
72,g54184,,May 2018,Brian H
73,g54184,,,
74,g54184,,,
75,g54184,,Oct 2015,jlantern3
76,g54184,,,
77,g54184,,,
78,g54184,,Aug 2018,adalbert3
79,g54184,,,
80,g54184,,,
81,g54184,,Aug 2019,Goingplaces297
82,g54184,,,
83,g54184,,,
84,g54184,,Feb 2016,Citallwic
85,g54184,,,
