,CityID,Comments,Date,User
0,g60745,,Jan 2020,Tripadvisor
1,g60745,,,
2,g60745,,,
3,g60745,,May 2019,EdSalvato
4,g60745,,,
5,g60745,,,
6,g60745,,May 2019,EdSalvato
7,g60745,,,
8,g60745,,,
9,g60745,,Aug 2019,EF Education First
10,g60745,,,
11,g60745,,,
12,g60745,"Check out my article on LGBTQ travel safety for a cool, new travel publication Stranger's Guide #lgbttravel #gaytravel #travelsafety",Mar 2019,EdSalvato
13,g60745,,,
14,g60745,,,
15,g60745,,Aug 2019,EF Education First
16,g60745,,,
17,g60745,,,
18,g60745,"Top Places to Travel: BOSTON & NANTUCKET . . . On a crossover episode of “best ways to experience New England,” The White Elephant on Nantucket island is partnering with Mandarin Oriental, Boston to offer guests the “Two If By Land, Three If By Sea” package: a three nights on the island and two nights in the city getaway. ",Aug 2019,Galavante
19,g60745,,,
20,g60745,,,
21,g60745,Which means the only barrier between you and a glorious winter vacation is choosing where to go.,Dec 2019,Matador Network
22,g60745,,,
23,g60745,,,
24,g60745,,May 2015,Kim-Marie
25,g60745,,,
26,g60745,,,
27,g60745,,Nov 2018,Andrew Jones
28,g60745,,,
29,g60745,,,
30,g60745,,Oct 2018,Kelsey
31,g60745,,,
32,g60745,,,
33,g60745,,Jan 2017,Daniel R
34,g60745,,,
35,g60745,,,
36,g60745,,Jan 2017,James C
37,g60745,,,
38,g60745,,,
39,g60745,,Feb 2019,Rob B
40,g60745,,,
41,g60745,,,
42,g60745,,May 2019,wireless_in_CA
43,g60745,,,
44,g60745,,,
45,g60745,,Sep 2019,NHWanderlust
46,g60745,,,
47,g60745,,,
48,g60745,,Nov 2017,Johnny G
49,g60745,,,
50,g60745,,,
51,g60745,,Jun 2019,Tom W
52,g60745,,,
53,g60745,,,
54,g60745,,Jul 2018,Steve T
55,g60745,,,
56,g60745,,,
57,g60745,,Sep 2017,Brooks P
58,g60745,,,
59,g60745,,,
60,g60745,,Jul 2018,nowpacking
61,g60745,,,
62,g60745,,,
63,g60745,,Jul 2018,nowpacking
64,g60745,,,
65,g60745,,,
66,g60745,,Oct 2017,BoSoxVacation
67,g60745,,,
68,g60745,,,
69,g60745,,Dec 2019,Heguang Z
70,g60745,,,
71,g60745,,,
72,g60745,,Oct 2015,Scott B
73,g60745,,,
74,g60745,,,
75,g60745,,Sep 2017,Brooks P
76,g60745,,,
77,g60745,,,
78,g60745,,Nov 2016,SavantIII_11
79,g60745,,,
80,g60745,,,
81,g60745,,Aug 2019,mickeyp_mcfc
82,g60745,,,
83,g60745,,,
84,g60745,,May 2015,Kim-Marie
85,g60745,,,
86,g60745,,,
87,g60745,,Nov 2018,Andrew Jones
88,g60745,,,
89,g60745,,,
90,g60745,,Oct 2018,Kelsey
91,g60745,,,
92,g60745,,,
93,g60745,,Jan 2017,Daniel R
94,g60745,,,
95,g60745,,,
96,g60745,,Jan 2017,James C
97,g60745,,,
98,g60745,,,
99,g60745,,Feb 2019,Rob B
100,g60745,,,
101,g60745,,,
102,g60745,,May 2019,wireless_in_CA
103,g60745,,,
104,g60745,,,
105,g60745,,Sep 2019,NHWanderlust
106,g60745,,,
107,g60745,,,
108,g60745,,Nov 2017,Johnny G
109,g60745,,,
110,g60745,,,
111,g60745,,Jun 2019,Tom W
112,g60745,,,
113,g60745,,,
114,g60745,,Jul 2018,Steve T
115,g60745,,,
116,g60745,,,
117,g60745,,Sep 2017,Brooks P
118,g60745,,,
119,g60745,,,
120,g60745,,Jul 2018,nowpacking
121,g60745,,,
122,g60745,,,
123,g60745,,Jul 2018,nowpacking
124,g60745,,,
125,g60745,,,
126,g60745,,Oct 2017,BoSoxVacation
127,g60745,,,
128,g60745,,,
129,g60745,,Dec 2019,Heguang Z
130,g60745,,,
131,g60745,,,
132,g60745,,Oct 2015,Scott B
133,g60745,,,
134,g60745,,,
135,g60745,,Sep 2017,Brooks P
136,g60745,,,
137,g60745,,,
138,g60745,,Nov 2016,SavantIII_11
139,g60745,,,
140,g60745,,,
141,g60745,,Aug 2019,mickeyp_mcfc
142,g60745,,,
143,g60745,,,
144,g60745,,Jul 2015,Denise14441518
145,g60745,,,
146,g60745,,,
147,g60745,,Sep 2016,TWT
148,g60745,,,
149,g60745,,,
150,g60745,,Jul 2017,temeny
151,g60745,,,
152,g60745,,,
153,g60745,,Nov 2019,bostonenespañol
154,g60745,,,
155,g60745,,,
156,g60745,,Sep 2015,Watos7
157,g60745,,,
158,g60745,,,
159,g60745,,Sep 2016,HispanicTitanic
160,g60745,,,
161,g60745,,,
162,g60745,,Nov 2018,travel mum
163,g60745,,,
164,g60745,,,
165,g60745,,Sep 2019,AlexanderD
166,g60745,,,
167,g60745,,,
168,g60745,,Jan 2019,DjJassu
169,g60745,,,
170,g60745,,,
171,g60745,,Sep 2018,TrainManDan10
172,g60745,,,
173,g60745,,,
174,g60745,,Jul 2015,Tassaduq Hussain
175,g60745,,,
176,g60745,,,
177,g60745,,Jul 2019,SKA15
178,g60745,,,
179,g60745,,,
180,g60745,,Apr 2016,angelina
181,g60745,,,
182,g60745,,,
183,g60745,,Jul 2015,Denise14441518
184,g60745,,,
185,g60745,,,
186,g60745,,Sep 2016,TWT
187,g60745,,,
188,g60745,,,
189,g60745,,Jul 2017,temeny
190,g60745,,,
191,g60745,,,
192,g60745,,Nov 2019,bostonenespañol
193,g60745,,,
194,g60745,,,
195,g60745,,Sep 2015,Watos7
196,g60745,,,
197,g60745,,,
198,g60745,,Sep 2016,HispanicTitanic
199,g60745,,,
200,g60745,,,
201,g60745,,Nov 2018,travel mum
202,g60745,,,
203,g60745,,,
204,g60745,,Sep 2019,AlexanderD
205,g60745,,,
206,g60745,,,
207,g60745,,Jan 2019,DjJassu
208,g60745,,,
209,g60745,,,
210,g60745,,Sep 2018,TrainManDan10
211,g60745,,,
212,g60745,,,
213,g60745,,Jul 2015,Tassaduq Hussain
214,g60745,,,
215,g60745,,,
216,g60745,,Jul 2019,SKA15
217,g60745,,,
218,g60745,,,
219,g60745,,Apr 2016,angelina
220,g60745,,,
221,g60745,,,
222,g60745,,Jul 2015,Denise14441518
223,g60745,,,
224,g60745,,,
225,g60745,,Sep 2016,TWT
226,g60745,,,
227,g60745,,,
228,g60745,,Jul 2017,temeny
229,g60745,,,
230,g60745,,,
231,g60745,,Nov 2019,bostonenespañol
232,g60745,,,
233,g60745,,,
234,g60745,,Sep 2015,Watos7
235,g60745,,,
236,g60745,,,
237,g60745,,Sep 2016,HispanicTitanic
238,g60745,,,
239,g60745,,,
240,g60745,,Nov 2018,travel mum
241,g60745,,,
242,g60745,,,
243,g60745,,Sep 2019,AlexanderD
244,g60745,,,
245,g60745,,,
246,g60745,,Jan 2019,DjJassu
247,g60745,,,
248,g60745,,,
249,g60745,,Sep 2018,TrainManDan10
250,g60745,,,
251,g60745,,,
252,g60745,,Jul 2015,Tassaduq Hussain
253,g60745,,,
254,g60745,,,
255,g60745,,Jul 2019,SKA15
256,g60745,,,
257,g60745,,,
258,g60745,,Apr 2016,angelina
259,g60745,,,
260,g60745,,,
