,CityID,Comments,Date,User
0,g39426,,Apr 2019,VisitLEX
1,g39426,,,
2,g39426,,,
3,g39426,"If you are a bourbon connoisseur, attending WhiskeyFest and embarking on the Kentucky Bourbon Trail is a must. From New York City to the midwest, bourbon is beloved all over the U.S. If you're a fan, you might want to check out these 8 places - cheers! 🍻",Apr 2019,Insider
4,g39426,,,
5,g39426,,,
6,g39426,"If you don't know her by now...shame on you! We had the chance to sit down with Marianne Eaves, the first female bourbon Master Distiller since Prohibition, to get her take on the best of Lexington’s bourbon scene plus insider tips on making the most of America’s Native Spirit.",Dec 2018,VisitLEX
7,g39426,,,
8,g39426,,,
9,g39426,"This is an exciting year for U.S. cities. Find out why, and then book your flights to these places ASAP. #cities #favorite #weekendgetaway",Aug 2018,SmarterTravel
10,g39426,,,
11,g39426,,,
12,g39426,,Jun 2018,James M
13,g39426,,,
14,g39426,,,
15,g39426,,Aug 2019,Pete L
16,g39426,,,
17,g39426,,,
18,g39426,,Aug 2019,Pete L
19,g39426,,,
20,g39426,,,
21,g39426,,Jul 2019,wmbrakeman
22,g39426,,,
23,g39426,,,
24,g39426,,Apr 2018,cheryl h
25,g39426,,,
26,g39426,,,
27,g39426,,May 2016,Lynn C
28,g39426,,,
29,g39426,,,
30,g39426,,May 2017,chevymetl
31,g39426,,,
32,g39426,,,
33,g39426,,May 2016,Lynn C
34,g39426,,,
35,g39426,,,
36,g39426,,May 2018,cheryl h
37,g39426,,,
38,g39426,,,
39,g39426,,Jul 2016,Angela P
40,g39426,,,
41,g39426,,,
42,g39426,,Jun 2017,CuriousTraveler8048
43,g39426,,,
44,g39426,,,
45,g39426,,Sep 2018,Pat B
46,g39426,,,
47,g39426,,,
48,g39426,,Jun 2018,libertyhall
49,g39426,,,
50,g39426,,,
51,g39426,,Jun 2016,KYBATMAN
52,g39426,,,
53,g39426,,,
54,g39426,,Jun 2014,e w
55,g39426,,,
56,g39426,,,
57,g39426,,May 2017,Kate Illinois1
58,g39426,,,
59,g39426,,,
60,g39426,,May 2017,Kate Illinois1
61,g39426,,,
62,g39426,,,
63,g39426,,Feb 2016,BestWesternHotels
64,g39426,,,
65,g39426,,,
66,g39426,,Jun 2015,Don L
67,g39426,,,
68,g39426,,,
69,g39426,,Sep 2018,Adriana L
70,g39426,,,
71,g39426,,,
72,g39426,,Nov 2014,libertyhall
73,g39426,,,
74,g39426,,,
75,g39426,,Feb 2016,BestWesternHotels
76,g39426,,,
77,g39426,,,
78,g39426,,Oct 2017,oboi
79,g39426,,,
80,g39426,,,
81,g39426,,May 2019,Louise E
82,g39426,,,
83,g39426,,,
84,g39426,,Dec 2015,cb714me
85,g39426,,,
86,g39426,,,
87,g39426,,May 2017,Jeff G
88,g39426,,,
89,g39426,,,
90,g39426,,Dec 2018,Michael H
91,g39426,,,
92,g39426,,,
93,g39426,,May 2017,Jim M
94,g39426,,,
95,g39426,,,
96,g39426,,Nov 2019,Prabha R
97,g39426,,,
98,g39426,,,
99,g39426,,Oct 2016,airlink9972
100,g39426,,,
101,g39426,,,
102,g39426,,Aug 2018,Fabreeze131
103,g39426,,,
104,g39426,,,
105,g39426,,Oct 2018,T B
106,g39426,,,
107,g39426,,,
108,g39426,,Apr 2018,luv2travel0110
109,g39426,,,
110,g39426,,,
111,g39426,,Aug 2017,Ron R
112,g39426,,,
113,g39426,,,
114,g39426,,Oct 2015,marvin m
115,g39426,,,
116,g39426,,,
117,g39426,,Aug 2018,Fabreeze131
118,g39426,,,
119,g39426,,,
120,g39426,,May 2018,cheryl h
121,g39426,,,
122,g39426,,,
123,g39426,,Apr 2018,cheryl h
124,g39426,,,
125,g39426,,,
126,g39426,,Aug 2017,jkintz09
127,g39426,,,
128,g39426,,,
129,g39426,,Jun 2019,jp79smith
130,g39426,,,
131,g39426,,,
132,g39426,,Oct 2019,Jezebel6368
133,g39426,,,
134,g39426,,,
135,g39426,,Dec 2019,David D
136,g39426,,,
137,g39426,,,
138,g39426,,Sep 2019,Candice C
139,g39426,,,
140,g39426,,,
141,g39426,,May 2016,Lynn C
142,g39426,,,
143,g39426,,,
144,g39426,,Nov 2019,donnamello
145,g39426,,,
146,g39426,,,
147,g39426,,Apr 2018,jgbtravels
148,g39426,,,
149,g39426,,,
150,g39426,,Nov 2019,donnamello
151,g39426,,,
152,g39426,,,
153,g39426,,Aug 2014,BionicOne
154,g39426,,,
155,g39426,,,
156,g39426,,Oct 2019,jkahn95600
157,g39426,,,
158,g39426,,,
