,CityID,Comments,Date,User
0,g34009,,Sep 2019,Visit Delaware
1,g34009,,,
2,g34009,,,
3,g34009,"Summer may seem far away, but planning a road trip with kids requires months of planning. We've done the research for you and picked out a few of the more hidden gems across the United States for you to visit with your family. From sand sledding to cave mining, museums to farms, we've compiled 49 attractions all over the country that offer your kiddos unique experiences involving education, play, and simple, pure enjoyment.",Dec 2018,PopSugar
4,g34009,,,
5,g34009,,,
6,g34009,,Yesterday,Visit Delaware
7,g34009,,,
8,g34009,,,
9,g34009,,Aug 2018,Pandora
10,g34009,,,
11,g34009,,,
12,g34009,,Aug 2019,Visit Delaware
13,g34009,,,
14,g34009,,,
15,g34009,,Sep 2019,Visit Delaware
16,g34009,,,
17,g34009,,,
18,g34009,,Mar 24,Visit Delaware
19,g34009,,,
20,g34009,,,
21,g34009,,Sep 2019,Visit Delaware
22,g34009,,,
23,g34009,,,
24,g34009,,Aug 2019,Visit Delaware
25,g34009,,,
26,g34009,,,
27,g34009,,Feb 2020,Visit Delaware
28,g34009,,,
29,g34009,,,
30,g34009,,Jan 2020,Visit Delaware
31,g34009,,,
32,g34009,,,
33,g34009,,Nov 2019,Visit Delaware
34,g34009,,,
35,g34009,,,
36,g34009,,Sep 2019,Visit Delaware
37,g34009,,,
38,g34009,,,
39,g34009,,Jan 2017,Visit Delaware
40,g34009,,,
41,g34009,,,
42,g34009,The Delaware Outdoor Trail is an easy-to-follow passport-style system that leads visitors methodically through an array of outdoor activities! Enjoy more than 60 activities in over 40 statewide locations.,Jun 2019,VisitWilmingtonDE
43,g34009,,,
44,g34009,,,
45,g34009,,Sep 2019,Visit Delaware
46,g34009,,,
47,g34009,,,
48,g34009,,Oct 2019,Visit Delaware
49,g34009,,,
50,g34009,,,
51,g34009,,Jun 2017,Visit Delaware
52,g34009,,,
53,g34009,,,
54,g34009,,Aug 2015,Tylisha J
55,g34009,,,
56,g34009,,,
57,g34009,,Aug 2015,Tylisha J
58,g34009,,,
59,g34009,,,
60,g34009,,Aug 2019,Visit Delaware
61,g34009,,,
62,g34009,,,
63,g34009,,May 2013,phagerup
64,g34009,,,
65,g34009,,,
66,g34009,,Nov 2019,Michael_Mire
67,g34009,,,
68,g34009,,,
69,g34009,,Jun 2018,Terri W
70,g34009,,,
71,g34009,,,
72,g34009,,Mar 2019,Jeannine Lahey
73,g34009,,,
74,g34009,,,
75,g34009,,Apr 2015,Cindy P
76,g34009,,,
77,g34009,,,
78,g34009,,Oct 2019,Shannon
79,g34009,,,
80,g34009,,,
81,g34009,,Mar 2014,MainStay S
82,g34009,,,
83,g34009,,,
84,g34009,,Jul 2017,njTravelJunkie222
85,g34009,,,
86,g34009,,,
87,g34009,,Nov 2019,GeekHistory
88,g34009,,,
89,g34009,,,
90,g34009,,May 2013,Cindy P
91,g34009,,,
92,g34009,,,
93,g34009,,Jun 2018,Kate Illinois1
94,g34009,,,
95,g34009,,,
96,g34009,,Oct 2017,Suzanne S
97,g34009,,,
98,g34009,,,
99,g34009,,Jun 2016,Jeannine Lahey
100,g34009,,,
101,g34009,,,
102,g34009,,Apr 2017,Webmaster U
103,g34009,,,
104,g34009,,,
105,g34009,,Jan 2018,t J
106,g34009,,,
107,g34009,,,
108,g34009,,Apr 2015,Cindy P
109,g34009,,,
110,g34009,,,
111,g34009,,Jul 2017,Baxie
112,g34009,,,
113,g34009,,,
114,g34009,,Oct 2017,Cindy P
115,g34009,,,
116,g34009,,,
117,g34009,,Jun 2017,Fred B
118,g34009,,,
119,g34009,,,
120,g34009,,Jan 2019,Pats S
121,g34009,,,
122,g34009,,,
123,g34009,,Jun 2018,Terri W
124,g34009,,,
125,g34009,,,
126,g34009,,May 2016,Brandon P
127,g34009,,,
128,g34009,,,
129,g34009,,Oct 2017,Cindy P
130,g34009,,,
131,g34009,,,
132,g34009,,Jan 2019,Pats S
133,g34009,,,
134,g34009,,,
135,g34009,,Jun 2019,autismadvocate
136,g34009,,,
137,g34009,,,
138,g34009,,Aug 2017,Boira S
139,g34009,,,
140,g34009,,,
141,g34009,,Oct 2017,Shelley K
142,g34009,,,
143,g34009,,,
144,g34009,,Aug 2019,Jcd25@
145,g34009,,,
146,g34009,,,
147,g34009,,Jun 2017,Jeremy31Virgo
148,g34009,,,
149,g34009,,,
150,g34009,,Jun 2018,Kate Illinois1
151,g34009,,,
152,g34009,,,
153,g34009,,Apr 2017,Oliver S
154,g34009,,,
155,g34009,,,
156,g34009,,Jun 2018,Kate Illinois1
157,g34009,,,
158,g34009,,,
159,g34009,,Dec 2018,Prawet J
160,g34009,,,
161,g34009,,,
162,g34009,,Apr 2019,jfadds
163,g34009,,,
164,g34009,,,
165,g34009,,Oct 2018,IslandzGirl
166,g34009,,,
167,g34009,,,
168,g34009,,Jun 2018,Kate Illinois1
169,g34009,,,
170,g34009,,,
171,g34009,,Sep 2013,1stStateHeritagePark
172,g34009,,,
173,g34009,,,
174,g34009,,Feb 2011,DoverLover
175,g34009,,,
176,g34009,,,
177,g34009,,Oct 2019,Shannon
178,g34009,,,
179,g34009,,,
180,g34009,,Sep 2017,deborahnails
181,g34009,,,
182,g34009,,,
183,g34009,,Oct 2017,Robyn8003
184,g34009,,,
185,g34009,,,
186,g34009,,Apr 2016,Oliver S
187,g34009,,,
188,g34009,,,
