,CityID,Comments,Date,User
0,g60747,,Jun 2018,AStampfel
1,g60747,,,
2,g60747,,,
3,g60747,,Jan 2016,Michelle B
4,g60747,,,
5,g60747,,,
6,g60747,,Mar 2017,LauraLou33
7,g60747,,,
8,g60747,,,
9,g60747,,Jul 2016,drdroad
10,g60747,,,
11,g60747,,,
12,g60747,,Apr 2019,Dave S
13,g60747,,,
14,g60747,,,
15,g60747,,Jul 2016,drdroad
16,g60747,,,
17,g60747,,,
18,g60747,,Sep 2016,Lastrick
19,g60747,,,
20,g60747,,,
21,g60747,,,Rena M
22,g60747,,,
23,g60747,,,
24,g60747,,Sep 2019,Georgesec
25,g60747,,,
26,g60747,,,
27,g60747,,Jul 2017,Lindsey B
28,g60747,,,
29,g60747,,,
30,g60747,,Jun 2015,MKTBE
31,g60747,,,
32,g60747,,,
33,g60747,,Jul 2019,Sarvin4
34,g60747,,,
35,g60747,,,
36,g60747,,Apr 2014,Matt T
37,g60747,,,
38,g60747,,,
39,g60747,,May 2015,YellatDr
40,g60747,,,
41,g60747,,,
42,g60747,,Dec 2019,Austin N.
43,g60747,,,
44,g60747,,,
45,g60747,,Aug 2015,netmac2015
46,g60747,,,
47,g60747,,,
48,g60747,,Jan 2019,Jenna
49,g60747,,,
50,g60747,,,
51,g60747,,Jan 2018,Mdaddy46
52,g60747,,,
53,g60747,,,
54,g60747,,Aug 2017,Bethany N
55,g60747,,,
56,g60747,,,
57,g60747,,Jan 2019,Jenna
58,g60747,,,
59,g60747,,,
60,g60747,,Apr 2014,Matt T
61,g60747,,,
62,g60747,,,
63,g60747,,Apr 2019,Dave S
64,g60747,,,
65,g60747,,,
66,g60747,,Aug 2018,Karin T
67,g60747,,,
68,g60747,,,
69,g60747,,Jul 2018,MunchettaB
70,g60747,,,
71,g60747,,,
72,g60747,,Jun 2019,Sara Collins
73,g60747,,,
74,g60747,,,
75,g60747,,Jun 2019,Rob M
76,g60747,,,
77,g60747,,,
78,g60747,,Dec 2018,Austin N.
79,g60747,,,
80,g60747,,,
81,g60747,,Oct 2014,Chef M Ryan S
82,g60747,,,
83,g60747,,,
84,g60747,,Dec 2019,Elaine Sellfors
85,g60747,,,
86,g60747,,,
87,g60747,,Sep 2014,VisitTopekaKS
88,g60747,,,
89,g60747,,,
90,g60747,,Sep 2018,Peggy M
91,g60747,,,
92,g60747,,,
93,g60747,,Jun 2019,Austin N.
94,g60747,,,
95,g60747,,,
96,g60747,,Jan 2017,Skeney57
97,g60747,,,
98,g60747,,,
99,g60747,,Aug 2015,netmac2015
100,g60747,,,
101,g60747,,,
102,g60747,,Mar 2017,AdastraExplorer
103,g60747,,,
104,g60747,,,
105,g60747,,Jul 2015,MKTBE
106,g60747,,,
107,g60747,,,
108,g60747,,Jul 2015,Duane D
109,g60747,,,
110,g60747,,,
111,g60747,,Jan 2016,Chuck H
112,g60747,,,
113,g60747,,,
114,g60747,,Jan 2017,Skeney57
115,g60747,,,
116,g60747,,,
117,g60747,,Apr 2016,RJourn
118,g60747,,,
119,g60747,,,
120,g60747,,Jun 2016,drdroad
121,g60747,,,
122,g60747,,,
123,g60747,,Apr 2016,RJourn
124,g60747,,,
125,g60747,,,
126,g60747,,Sep 2015,Lewis D
127,g60747,,,
128,g60747,,,
129,g60747,,Aug 2015,netmac2015
130,g60747,,,
131,g60747,,,
132,g60747,,Jul 2014,Lindsey
133,g60747,,,
134,g60747,,,
135,g60747,,Jun 2019,Rob M
136,g60747,,,
137,g60747,,,
138,g60747,,Jul 2016,drdroad
139,g60747,,,
140,g60747,,,
141,g60747,,May 2018,Brandon Gerding
142,g60747,,,
143,g60747,,,
144,g60747,,Sep 2014,GPS2008
145,g60747,,,
146,g60747,,,
