,CityID,Comments,Date,User
0,g49463,"Durham, North Carolina has a spirit that can’t be defined. Discover where to eat, drink, stay and shop in this forward-thinking Southern city.",Dec 2018,Wine Enthusiast
1,g49463,,,
2,g49463,,,
3,g49463,"Lunar New Year is a sacred time for many Asian cultures. This year is the Year of the Pig, the last animal in the Chinese zodiac and marking completion of a 12-year cycle. The new year -- falling on February 5 -- brings with it good fortune, as we sweep away the dregs of the past and make room for future prosperity. If you want to get in on the fun, here's a smattering of domestic celebrations ushering in a year of good will and fortune.",Feb 2019,Thrillist
4,g49463,,,
5,g49463,,,
6,g49463,"There are a number of American cities with lesser-known, but thriving, music scenes. For example, even though Nashville is famous for live music, the nearby city of Bristol is known as the ""Birthplace of Country Music.""

",Nov 2018,Business Insider
7,g49463,,,
8,g49463,,,
9,g49463,,May 2019,Wine Enthusiast
10,g49463,,,
11,g49463,,,
12,g49463,Why choose between great food and great beer? There's no compromise at these buzzy spots.,Sep 2018,DRAFTMag
13,g49463,,,
14,g49463,,,
15,g49463,,Aug 2018,The Knot
16,g49463,,,
17,g49463,,,
18,g49463,,Aug 2015,cheryl h
19,g49463,,,
20,g49463,,,
21,g49463,,Sep 2014,cheryl h
22,g49463,,,
23,g49463,,,
24,g49463,,Jun 2015,CloudAngus
25,g49463,,,
26,g49463,,,
27,g49463,,Jan 2018,JK338
28,g49463,,,
29,g49463,,,
30,g49463,,May 2018,Jeremy K
31,g49463,,,
32,g49463,,,
33,g49463,,Apr 2017,sabimax
34,g49463,,,
35,g49463,,,
36,g49463,,May 2015,Sarah R
37,g49463,,,
38,g49463,,,
39,g49463,,Mar 2014,cheryl h
40,g49463,,,
41,g49463,,,
42,g49463,,Dec 2015,Eric H
43,g49463,,,
44,g49463,,,
45,g49463,,Dec 2014,cheryl h
46,g49463,,,
47,g49463,,,
48,g49463,,Sep 2016,cheryl h
49,g49463,,,
50,g49463,,,
51,g49463,,Jun 2014,cheryl h
52,g49463,,,
53,g49463,,,
54,g49463,,Oct 2018,Lee726
55,g49463,,,
56,g49463,,,
57,g49463,,Sep 2016,visitRaleigh
58,g49463,,,
59,g49463,,,
60,g49463,,Feb 2013,OutdoorSue
61,g49463,,,
62,g49463,,,
63,g49463,,Aug 2017,TrikkeRaleighGal
64,g49463,,,
65,g49463,,,
66,g49463,,Jan 2019,mbleighton
67,g49463,,,
68,g49463,,,
69,g49463,,Sep 2013,Vansana N
70,g49463,,,
71,g49463,,,
72,g49463,,Mar 2019,jmpncsu
73,g49463,,,
74,g49463,,,
75,g49463,,Oct 2018,rogersober
76,g49463,,,
77,g49463,,,
78,g49463,,Nov 2014,Sburris65
79,g49463,,,
80,g49463,,,
81,g49463,,Sep 2014,cheryl h
82,g49463,,,
83,g49463,,,
84,g49463,,Jun 2014,cheryl h
85,g49463,,,
86,g49463,,,
87,g49463,,Dec 2018,Tricia S
88,g49463,,,
89,g49463,,,
90,g49463,,Aug 2017,TrikkeRaleighGal
91,g49463,,,
92,g49463,,,
93,g49463,,Jul 2018,412toOBX
94,g49463,,,
95,g49463,,,
96,g49463,,Nov 2017,613melissai
97,g49463,,,
98,g49463,,,
99,g49463,,Apr 2018,Ronak S
100,g49463,,,
101,g49463,,,
102,g49463,,Apr 2018,Ronak S
103,g49463,,,
104,g49463,,,
105,g49463,,Oct 2015,Paty R
106,g49463,,,
107,g49463,,,
108,g49463,,May 2017,sueyull
109,g49463,,,
110,g49463,,,
111,g49463,,Jul 2018,SM_020817
112,g49463,,,
113,g49463,,,
114,g49463,,Apr 2015,Paty R
115,g49463,,,
116,g49463,,,
117,g49463,,Mar 2014,cheryl h
118,g49463,,,
119,g49463,,,
120,g49463,,Apr 2014,IceUpSon
121,g49463,,,
122,g49463,,,
123,g49463,,Jun 2014,cheryl h
124,g49463,,,
125,g49463,,,
126,g49463,,Oct 2017,JoeK04
127,g49463,,,
128,g49463,,,
129,g49463,,Sep 2014,cheryl h
130,g49463,,,
131,g49463,,,
132,g49463,,Mar 2014,cheryl h
133,g49463,,,
134,g49463,,,
135,g49463,,Nov 2013,michael s
136,g49463,,,
137,g49463,,,
138,g49463,,Mar 2014,cheryl h
139,g49463,,,
140,g49463,,,
