,CityID,Comments,Date,User
0,g29212,TPC Scottsdale isn't the only great stadium golf course for spectators. A few others are coming up on the PGA Tour schedule. ,Feb 2020,Golf Advisor
1,g29212,,,
2,g29212,,,
3,g29212,,Nov 2018,Roadfood
4,g29212,,,
5,g29212,,,
6,g29212,"The Cypress Point Club in Pebble Beach, California has incredible ocean views. The Wade Hampton Golf Club in Cashiers, North Carolina is breathtaking in the fall. The Masters are often held at the courses in Pebble Beach, California and Augusta, Georgia. If you're a golf enthusiast, these are a must see. ",Jun 2019,Business Insider
7,g29212,,,
8,g29212,,,
9,g29212,DELISH!,Feb 2019,Roadfood
10,g29212,,,
11,g29212,,,
12,g29212,,Apr 2019,Golf Advisor
13,g29212,,,
14,g29212,,,
15,g29212,"Visiting Augusta for the Masters? Check out our guide featuring where to play, what to do off the course, and how to get tickets next year. ",Apr 2019,Golf Advisor
16,g29212,,,
17,g29212,,,
18,g29212,,Apr 2019,Golf Advisor
19,g29212,,,
20,g29212,,,
21,g29212,,Jun 2016,Maria S
22,g29212,,,
23,g29212,,,
24,g29212,,Aug 2019,Elizabeth Hinds
25,g29212,,,
26,g29212,,,
27,g29212,,Aug 2015,Bosco125
28,g29212,,,
29,g29212,,,
30,g29212,,Dec 2018,Williamjahn8
31,g29212,,,
32,g29212,,,
33,g29212,,Dec 2016,Don C
34,g29212,,,
35,g29212,,,
36,g29212,,Sep 2016,Wigginsjr88
37,g29212,,,
38,g29212,,,
39,g29212,,May 2015,Ray
40,g29212,,,
41,g29212,,,
42,g29212,,Feb 2017,Michelle H
43,g29212,,,
44,g29212,,,
45,g29212,,May 2017,Michelle H
46,g29212,,,
47,g29212,,,
48,g29212,,Dec 2013,mooncricket2311
49,g29212,,,
50,g29212,,,
51,g29212,,Jun 2014,Marilyn S
52,g29212,,,
53,g29212,,,
54,g29212,,Nov 2016,Mary C
55,g29212,,,
56,g29212,,,
57,g29212,,Apr 2016,CentraArchy-Rest
58,g29212,,,
59,g29212,,,
60,g29212,,Jun 2014,Grooverman
61,g29212,,,
62,g29212,,,
63,g29212,,Jun 2013,Tamara_Mon_Louis
64,g29212,,,
65,g29212,,,
66,g29212,,May 2017,Matthew W
67,g29212,,,
68,g29212,,,
69,g29212,,Mar 2018,JuliaTheItinerant
70,g29212,,,
71,g29212,,,
72,g29212,,Mar 2018,Ryan G
73,g29212,,,
74,g29212,,,
75,g29212,,Jun 2016,Safariholic
76,g29212,,,
77,g29212,,,
78,g29212,,Sep 2019,TBonz
79,g29212,,,
80,g29212,,,
81,g29212,,Jun 2015,Nicole M
82,g29212,,,
83,g29212,,,
84,g29212,,Dec 2014,411Shirley
85,g29212,,,
86,g29212,,,
87,g29212,,Aug 2019,D2000lands
88,g29212,,,
89,g29212,,,
90,g29212,,Jul 2016,Lifetraveler1
91,g29212,,,
92,g29212,,,
93,g29212,,Apr 2016,JCH86
94,g29212,,,
95,g29212,,,
96,g29212,,Dec 2016,Helena M
97,g29212,,,
98,g29212,,,
99,g29212,,Dec 2011,SWFTravelsALot
100,g29212,,,
101,g29212,,,
102,g29212,,May 2017,Matthew W
103,g29212,,,
104,g29212,,,
105,g29212,,Apr 2018,TBonz
106,g29212,,,
107,g29212,,,
108,g29212,,Mar 2018,Ryan G
109,g29212,,,
110,g29212,,,
111,g29212,,Aug 2017,brian0910
112,g29212,,,
113,g29212,,,
114,g29212,,Jun 2017,Steak-OutUSA
115,g29212,,,
116,g29212,,,
117,g29212,,Jul 2018,charleslambert392
118,g29212,,,
119,g29212,,,
120,g29212,,Apr 2016,Zez25
121,g29212,,,
122,g29212,,,
123,g29212,,Apr 2019,Paul S
124,g29212,,,
125,g29212,,,
126,g29212,,Nov 2015,Steve W
127,g29212,,,
128,g29212,,,
129,g29212,,Mar 2019,Visit Augusta
130,g29212,,,
131,g29212,,,
132,g29212,,Apr 2016,Lisa L
133,g29212,,,
134,g29212,,,
135,g29212,,May 2019,Angel Renee
136,g29212,,,
137,g29212,,,
138,g29212,,Mar 2018,jlantern3
139,g29212,,,
140,g29212,,,
141,g29212,,Nov 2019,Joseph M
142,g29212,,,
143,g29212,,,
144,g29212,,May 2016,George S
145,g29212,,,
146,g29212,,,
147,g29212,,Sep 2014,Wyosoldier
148,g29212,,,
149,g29212,,,
150,g29212,,Feb 2018,Alannah M
151,g29212,,,
152,g29212,,,
153,g29212,,Jul 2018,charleslambert392
154,g29212,,,
155,g29212,,,
156,g29212,,Nov 2019,Joseph M
157,g29212,,,
158,g29212,,,
159,g29212,,Sep 2019,Two Lane Adventures
160,g29212,,,
161,g29212,,,
162,g29212,,Feb 2017,John V
163,g29212,,,
164,g29212,,,
165,g29212,,Nov 2019,Callaway1979
166,g29212,,,
167,g29212,,,
