,CityID,Comments,Date,User
0,g46874,"Everyone needs to escape from the concrete jungle from time to time. And our centrally located city allows even the car-less to take easy, affordable, and convenient day trips. All you need is a free Saturday, some friends, and a sense of adventure, and you can flee for sand and surf, charming river towns, or nostalgic boardwalks without too much trouble.",Dec 2018,Refinery29
1,g46874,,,
2,g46874,,,
3,g46874,,Sep 2018,tom K
4,g46874,,,
5,g46874,,,
6,g46874,,Apr 2015,Abraham P
7,g46874,,,
8,g46874,,,
9,g46874,,Mar 2017,duck8to
10,g46874,,,
11,g46874,,,
12,g46874,,Sep 2015,movieglue
13,g46874,,,
14,g46874,,,
15,g46874,,Feb 2015,grfelt
16,g46874,,,
17,g46874,,,
18,g46874,,Jul 2016,Janet S
19,g46874,,,
20,g46874,,,
21,g46874,,Sep 2019,John F
22,g46874,,,
23,g46874,,,
24,g46874,,Sep 2015,movieglue
25,g46874,,,
26,g46874,,,
27,g46874,,Jul 2018,iDiegø M
28,g46874,,,
29,g46874,,,
30,g46874,,,RGSOUNDF
31,g46874,,,
32,g46874,,,
33,g46874,,Nov 2018,Frederick G
34,g46874,,,
35,g46874,,,
36,g46874,,,Reigne8
37,g46874,,,
38,g46874,,,
39,g46874,,Sep 2018,Marjorie340
40,g46874,,,
41,g46874,,,
42,g46874,,Jul 2016,iam4pacers
43,g46874,,,
44,g46874,,,
45,g46874,,Sep 2015,movieglue
46,g46874,,,
47,g46874,,,
48,g46874,,Aug 2015,Sam R
49,g46874,,,
50,g46874,,,
51,g46874,,Jan 2019,New Jersey State House Tours
52,g46874,,,
53,g46874,,,
54,g46874,,Jan 2019,New Jersey State House Tours
55,g46874,,,
56,g46874,,,
57,g46874,,Mar 2017,duck8to
58,g46874,,,
59,g46874,,,
60,g46874,,Sep 2016,schmutaki
61,g46874,,,
62,g46874,,,
63,g46874,,Sep 2016,schmutaki
64,g46874,,,
65,g46874,,,
66,g46874,,Feb 2016,galois02
67,g46874,,,
68,g46874,,,
69,g46874,,Jul 2016,Janet S
70,g46874,,,
71,g46874,,,
72,g46874,,Mar 2017,duck8to
73,g46874,,,
74,g46874,,,
75,g46874,,Feb 2015,njmotmot
76,g46874,,,
77,g46874,,,
